codigo;nombre;codigo_departamento
66170;Dosquebradas;66
15238;Duitama;15
54239;Durania;54
5240;Ebéjico;5
76243;El Águila;76
5250;El Bagre;5
47245;El Banco;47
76246;El Cairo;76
50245;El Calvario;50
27135;El Cantón del San Pablo (Managrú;27
27245;El Carmen;27
54245;El Carmen;54
68235;El Carmen;68
13244;El Carmen de Bolívar;13
50251;El Castillo;50
76248;El Cerrito;76
52250;El Charco;52
15244;El Cocuy;15
25245;El Colegio;25
20238;El Copey;20
18247;El Doncello;18
50270;El Dorado;50
76250;El Dovio;76
15248;El Espino;15
68245;El Guacamayo;68
13248;El Guamo;13
27250;El Litoral del San Juán (Docordó;27
44110;El Molino;44
20250;El Paso;20
18256;El Paujil;18
52254;El Peñol;52
13268;El Peñón;13
25258;El Peñón;25
68250;El Peñón;68
47258;El Piñón;47
68255;El Playón;68
47268;El Retén;47
95025;El Retorno;95
70233;El Roble;70
25260;El Rosal;25
52256;El Rosario;52
52258;El Tablón;52
19256;El Tambo;19
52260;El Tambo;52
54250;El Tarra;54
54261;El Zulia;54
41244;Elías;41
68264;Encino;68
68266;Enciso;68
5264;Entrerrios;5
5266;Envigado;5
73268;Espinal;73
25269;Facatativá;25
73270;Falan;73
17272;Filadelfia;17
63272;Filandia;63
15272;Firavitoba;15
73275;Flandes;73
18001;Florencia;18
19290;Florencia;19
15276;Floresta;15
68271;Florián;68
76275;Florida;76
68276;Floridablanca;68
25279;Fómeque;25
44279;Fonseca;44
81300;Fortul;81
25281;Fosca;25
52520;Francisco Pizarro (Salahonda;52
5282;Fredonia;5
73283;Fresno;73
5284;Frontino;5
50287;Fuente de Oro;50
47288;Fundación;47
52287;Funes;52
25286;Funza;25
25288;Fúquene;25
25290;Fusagasugá;25
25293;Gachalá;25
25295;Gachancipá;25
15293;Gachantivá;15
25297;Gachetá;25
68296;Galán;68
8296;Galapa;8
70235;Galeras;70
25299;Gama;25
20295;Gamarra;20
68298;Gámbita;68
15296;Gámeza;15
15299;Garagoa;15
41298;Garzón;41
63302;Génova;63
41306;Gigante;41
76306;Ginebra;76
5306;Giraldo;5
25307;Girardot;25
5308;Girardota;5
68307;Girón;68
5310;Gómez Plata;5
20310;González;20
54313;Gramalote;54
5313;Granada;5
25312;Granada;25
50313;Granada;50
68318;Guaca;68
15317;Guacamayas;15
76318;Guacarí;76
19300;Guachene;19
25317;Guachetá;25
52317;Guachucal;52
5315;Guadalupe;5
41319;Guadalupe;41
68320;Guadalupe;68
25320;Guaduas;25
52320;Guaitarilla;52
52323;Gualmatán;52
47318;Guamal;47
50318;Guamal;50
73319;Guamo;73
19318;Guapi;19
68322;Guapotá;68
70265;Guaranda;70
5318;Guarne;5
25322;Guasca;25
5321;Guatapé;5
25324;Guataquí;25
25326;Guatavita;25
15322;Guateque;15
66318;Guática;66
68324;Guavatá;68
25328;Guayabal de Síquima;25
25335;Guayabetal;25
15325;Guayatá;15
68327;Güepsa;68
15332;Guicán;15
25339;Gutiérrez;25
54344;Hacarí;54
13300;Hatillo de Loba;13
68344;Hato;68
85125;Hato Corozal;85
44378;Hato Nuevo;44
5347;Heliconia;5
54347;Herrán;54
73347;Herveo;73
5353;Hispania;5
41349;Hobo;41
73349;Honda;73
73001;Ibagué;73
73352;Icononzo;73
52352;Iles;52
52354;Imués;52
94001;Inírida;94
19355;Inzá;19
52356;Ipiales;52
41357;Íquira;41
41359;Isnos;41
27361;Istmina;27
5360;Itagüí;5
5361;Ituango;5
15362;Iza;15
19364;Jambaló;19
76364;Jamundí;76
5364;Jardín;5
15367;Jenesano;15
5368;Jericó;5
15368;Jericó;15
25368;Jerusalén;25
68368;Jesús María;68
68370;Jordán;68
8372;Juan de Acosta;8
25372;Junín;25
27372;Juradó;27
23350;La Apartada;23
41378;La Argentina;41
68377;La Belleza;68
25377;La Calera;25
15380;La Capilla;15
5376;La Ceja;5
66383;La Celia;66
52378;La Cruz;52
76377;La Cumbre;76
17380;La Dorada;17
54385;La Esperanza;54
5380;La Estrella;5
52381;La Florida;52
20383;La Gloria;20
20400;La Jagua de Ibirico;20
44420;La Jagua del Pilar;44
52385;La Llanada;52
50350;La Macarena;50
17388;La Merced;17
25386;La Mesa;25
25394;La Palma;25
20621;La Paz;20
68397;La Paz;68
25398;La Peña;25
5390;La Pintada;5
41396;La Plata;41
54398;La Playa;54
99524;La Primavera;99
85136;La Salina;85
19392;La Sierra;19
63401;La Tebaida;63
52390;La Tola;52
5400;La Unión;5
52399;La Unión;52
70400;La Unión;70
76400;La Unión;76
15403;La Uvita;15
19397;La Vega;19
25402;La Vega;25
15401;La Victoria;15
76403;La Victoria;76
66400;La Virginia;66
54377;Labateca;54
15377;Labranzagrande;15
68385;Landázuri;68
68406;Lebrija;68
52405;Leiva;52
50400;Lejanías;50
25407;Lenguazaque;25
73408;Lérida;73
91001;Leticia;91
73411;Líbano;73
5411;Liborina;5
52411;Linares;52
27413;Lloró;27
19418;López;19
23417;Lorica;23
52418;Los Andes (Sotomayor;52
23419;Los Córdobas;23
70418;Los Palmitos;70
54405;Los Patios;54
68418;Los Santos;68
54418;Lourdes;54
8421;Luruaco;8
15425;Macanal;15
68425;Macaravita;68
5425;Maceo;5
25426;Machetá;25
25430;Madrid;25
13430;Magangué;13
52427;Magüí (Payán;52
13433;Mahates;13
44430;Maicao;44
70429;Majagual;70
68432;Málaga;68
8433;Malambo;8
52435;Mallama (Piedrancha;52
8436;Manatí;8
44560;Manaure;44
20443;Manaure Balcón del Cesar;20
85139;Maní;85
17001;Manizales;17
25436;Manta;25
17433;Manzanares;17
50325;Mapiripán;50
13440;Margarita;13
13442;María la Baja;13
5440;Marinilla;5
15442;Maripí;15
73443;Mariquita;73
17442;Marmato;17
17444;Marquetalia;17
66440;Marsella;66
17446;Marulanda;17
68444;Matanza;68
5001;Medellín;5
25438;Medina;25
27425;Medio Atrato (Beté;27
27430;Medio Baudó(Boca de Pepé;27
27450;Medio San Juan (Andagoya;27
73449;Melgar;73
19450;Mercaderes;19
50330;Mesetas;50
18460;Milán;18
15455;Miraflores;15
95200;Miraflores;95
19455;Miranda;19
66456;Mistrató;66
97001;Mitú;97
86001;Mocoa;86
68464;Mogotes;68
68468;Molagavita;68
23464;Momil;23
13468;Mompós;13
15464;Mongua;15
15466;Monguí;15
15469;Moniquirá;15
18410;Montañita;18
5467;Montebello;5
13458;Montecristo;13
23466;Montelíbano;23
63470;Montenegro;63
23001;Montería;23
85162;Monterrey;85
23500;Moñitos;23
13473;Morales;13
19473;Morales;19
18479;Morelia;18
70473;Morroa;70
25473;Mosquera;25
52473;Mosquera;52
15476;Motavita;15
73461;Murillo;73
5475;Murindó;5
5480;Mutatá;5
54480;Mutiscua;54
15480;Muzo;15
5483;Nariño;5
25483;Nariño;25
52480;Nariño;52
